filename,class,xmin,ymin,xmax,ymax
video_CDC-YOUTUBE_mp4-63_jpg.rf.2f4f64f6ef712fb85fc50fc97c65ad2b.jpg,no-mask,315,249,468,374
IMG_4860_mp4-36_jpg.rf.01a053cabddff2cdd19f04e149251dca.jpg,no-mask,257,237,299,264
IMG_1491_mp4-12_jpg.rf.9df64033aebef44b8bb9a6a252bab009.jpg,mask,291,245,582,449
IMG_4861_mp4-64_jpg.rf.74ab6d1da8a1fa9b8fbb5762c06479d5.jpg,no-mask,231,229,577,420
IMG_9950-1-_mp4-83_jpg.rf.74dca33810c23ba144d83271b5153fc9.jpg,no-mask,107,168,515,469
IMG_4860_mp4-37_jpg.rf.2069fb5c3095ba61f76a40b8ad2ef6a9.jpg,no-mask,392,196,429,263
IMG_4860_mp4-15_jpg.rf.dfe85d8f89df182be5d9f0d27ac36892.jpg,no-mask,143,317,187,346
IMG_0871_mp4-13_jpg.rf.5646c232817fa9ee2e1fa4544e88c06d.jpg,mask,185,145,503,402
IMG_0873_MOV-23_jpg.rf.779f6682f58da50a2e19de691f3c637a.jpg,no-mask,190,137,506,411
IMG_1493_mp4-38_jpg.rf.724c3cfd0be2899deea0d35f0232fe29.jpg,no-mask,364,286,639,457
IMG_4861_mp4-31_jpg.rf.ba83ec86967355d99f32b326dd129ee2.jpg,no-mask,362,326,640,579
THE-HAVE-IT-ALL-TOUR-STARTS-TOMORROW-shorts-funny-standupcomedy-comedy-comedian-dating_mp4-0_jpg.rf.c5889809f1589a20c140166f6ae1bad5.jpg,no-mask,126,139,280,257
IMG_3102_mp4-3_jpg.rf.f0bd6289eb20c20c153717fc788f7b0c.jpg,no-mask,129,133,424,337
IMG_4860_mp4-32_jpg.rf.041e4ce49f3c343551f6302c26977b2f.jpg,no-mask,267,233,319,269
IMG_3094_mp4-12_jpg.rf.f4fdcddcf2789877e19aaf30f67e7352.jpg,mask,217,258,556,526
IMG_0871_mp4-25_jpg.rf.d2d4ea0f91427e4533cfe296f999a476.jpg,mask,185,179,491,438
IMG_0871_MOV-35_jpg.rf.b72e043d3c7dfdf0b79b9d017d8926d1.jpg,mask,154,119,576,426
How-to-Properly-Wear-a-Face-Mask-_-UC-San-Diego-Health_mp4-35_jpg.rf.4d147f80e840e4452cf0edd55a8afcfb.jpg,mask,468,147,505,267
IMG_4861_mp4-59_jpg.rf.dcfd546c115a9157aed41be5efe2918b.jpg,no-mask,222,166,540,418
IMG_4861_mp4-54_jpg.rf.459ae900cf8cd0be184290631a687899.jpg,no-mask,147,89,457,251
How-to-Properly-Wear-a-Face-Mask-_-UC-San-Diego-Health_mp4-58_jpg.rf.7e7c1d7fb446949aa74ee7814b0ac1bf.jpg,no-mask,202,108,308,345
IMG_4861_mp4-37_jpg.rf.4965566f65dc9dce67fff0fbb33399f9.jpg,no-mask,153,227,435,470
IMG_4861_mp4-56_jpg.rf.2c4bd7a2dd787d0344f2b49af88f21f1.jpg,no-mask,167,103,476,291
IMG_4861_mp4-47_jpg.rf.209393884c1db90770e41d762bbc5b8f.jpg,no-mask,59,140,451,341
IMG_4860_mp4-45_jpg.rf.29bb394fd84df979b2a6096746751f42.jpg,no-mask,212,179,264,204
videoplayback-1-_mp4-40_jpg.rf.bb8f56dc2b441655bbd7b515cf4c9d3f.jpg,no-mask,391,154,452,204
Apple-Tests-Face-ID-Feature-While-Wearing-a-Mask-Shorts_mp4-47_jpg.rf.792df1b1dfa5c10637d92f50c3d289b6.jpg,mask,198,146,494,359
IMG_3093_mp4-27_jpg.rf.e622f51df6e416d8f27e75c4461414e0.jpg,mask,205,250,493,461
IMG_4861_mp4-46_jpg.rf.dad7d5d3dac99dce951d54bb3c296c57.jpg,no-mask,1,156,302,385
video_CDC-YOUTUBE_mp4-64_jpg.rf.35e75e999c03b1355e8b3fec3b9b045c.jpg,no-mask,42,203,146,263
IMG_4920_mov-5_jpg.rf.845c3a3526609f6c4110ad216400a14a.jpg,mask,128,243,440,464
IMG_4861_mp4-29_jpg.rf.cf73ae977f3f70a0c854fc78d5e082e1.jpg,no-mask,552,197,640,410
IMG_4861_mp4-7_jpg.rf.b4f081f77af63476643dbe91775f045d.jpg,no-mask,280,154,574,401
1422808187-3291816118_jpg.rf.17621e354f8751fc38121d9a95129e2e.jpg,mask,206,126,426,435
Movie-on-10-31-22-at-10_08-AM_mov-20_jpg.rf.798b6b7639c79c2346db306e9c1aecc7.jpg,mask,191,74,317,329
IMG_4861_mp4-48_jpg.rf.7dbc736be256ae963fb770b010c20e9b.jpg,no-mask,154,91,474,231
videoplayback-1-_mp4-55_jpg.rf.996770fcea3f6d1531c4cfcf001e74c7.jpg,no-mask,418,154,482,208
IMG_3102_mp4-13_jpg.rf.08053e57fe0462e36655725052a02d32.jpg,no-mask,201,192,478,414
IMG_3100_mp4-12_jpg.rf.8fc0944a1c0774f0455603b1027d498f.jpg,mask,39,173,367,424
IMG_4921-2_mp4-124_jpg.rf.60e2e62f7f6c331d5960bf81261d0d8c.jpg,no-mask,0,209,321,500
Apple-Tests-Face-ID-Feature-While-Wearing-a-Mask-Shorts_mp4-41_jpg.rf.b89298f9a4808bc839f44f619ecb7c28.jpg,no-mask,157,178,424,354
video_CDC-YOUTUBE_mp4-37_jpg.rf.6c3a54d0d6cab27d3ee4d8ced765e303.jpg,mask,153,235,337,371
IMG_3102_mp4-1_jpg.rf.089e1bde7384a019434eb39611bb6149.jpg,no-mask,139,148,442,392
How-to-Properly-Wear-a-Face-Mask-_-UC-San-Diego-Health_mp4-64_jpg.rf.af3e4544d72d1f700f2e853afde77cc1.jpg,mask,158,80,303,409
THE-HAVE-IT-ALL-TOUR-STARTS-TOMORROW-shorts-funny-standupcomedy-comedy-comedian-dating_mp4-15_jpg.rf.d8244a32541203c643a0380bff4dd103.jpg,no-mask,249,123,450,250
How-to-Properly-Wear-a-Face-Mask-_-UC-San-Diego-Health_mp4-54_jpg.rf.9d42dd6c38b1e7f6011918515da302e5.jpg,mask,226,105,323,337
IMG_0871_MOV-27_jpg.rf.4eeea4e356ee72490677d2b626053ce7.jpg,mask,166,125,533,402
IMG_9950-1-_mp4-80_jpg.rf.505c2467104e162731f28110aa63879a.jpg,no-mask,122,170,473,468
video_CDC-YOUTUBE_mp4-62_jpg.rf.59bcd710f4e058d9153e7b6455e34612.jpg,no-mask,344,247,495,379
How-to-Properly-Wear-a-Face-Mask-_-UC-San-Diego-Health_mp4-78_jpg.rf.05bb9e419d585add49282f852f804efa.jpg,mask,208,135,335,427
IMG_4861_mp4-41_jpg.rf.0dde58454483753a5ea8f10d98545376.jpg,no-mask,310,169,639,455
IMG_4860_mp4-46_jpg.rf.8f18046fd7cb3ad576dec2fd2929c3c4.jpg,no-mask,185,195,237,224
IMG_4861_mp4-33_jpg.rf.720c7827390db2a63c32c982101f06bf.jpg,no-mask,146,420,416,640
IMG_7309_JPG_jpg.rf.a0d52fd98d6d55b26272bf138a6c7068.jpg,mask,252,194,368,316
IMG_4861_mp4-65_jpg.rf.c9479d22e70e9b2b3d3e02e55e14e13f.jpg,no-mask,285,205,569,358
IMG_1492_mp4-16_jpg.rf.13c8654ef91dc2e4ba8d6959e00d32a6.jpg,mask,187,190,547,524
How-to-Properly-Wear-a-Face-Mask-_-UC-San-Diego-Health_mp4-63_jpg.rf.3426bc6c2a4d1360532dfb57844572a1.jpg,mask,156,77,304,403
IMG_1492_mp4-0_jpg.rf.af86d994137e14d94ec4df217ad1b8fc.jpg,mask,174,215,451,447
IMG_3100_mp4-2_jpg.rf.048fb5479fbbd0f46b30db2a9d0969a8.jpg,mask,75,161,430,429
video_CDC-YOUTUBE_mp4-33_jpg.rf.f01825efa2c3f0d50faa2b40ea8c1f79.jpg,no-mask,242,236,369,338
IMG_4861_mp4-36_jpg.rf.4873ced2f64835387cae26d9af522f98.jpg,no-mask,158,246,441,480
IMG_3099_mp4-26_jpg.rf.44828067865615f50965e95445f8303f.jpg,no-mask,121,160,460,415
IMG_1493_mp4-54_jpg.rf.72545b7ed5b8bb3cd0700b8ac989bed4.jpg,no-mask,204,189,542,449
IMG_3100_mp4-19_jpg.rf.ffae7e5e71082ea9a690d7ee06c0bd7b.jpg,mask,56,199,333,415
Apple-Tests-Face-ID-Feature-While-Wearing-a-Mask-Shorts_mp4-38_jpg.rf.7c52a9dbb59aab7fe29cbb9cb979519f.jpg,no-mask,164,152,491,378
IMG_4861_mp4-14_jpg.rf.db6fbc4ca51f8a209d370ea2808db501.jpg,no-mask,195,158,540,426
video_CDC-YOUTUBE_mp4-56_jpg.rf.d8a0a063f4a5575d1370f347e1c33b80.jpg,mask,263,234,484,411
IMG_4861_mp4-27_jpg.rf.8227be91308de86d8ae45f4e07abce87.jpg,no-mask,1,166,224,392
videoplayback-1-_mp4-12_jpg.rf.1c0714f929b2cfb31aaa5a73ea4979f7.jpg,no-mask,362,77,449,145
IMG_1492_mp4-2_jpg.rf.3d9eea090f29ed62bcd868ade643666e.jpg,mask,197,238,498,463
IMG_3103_mp4-1_jpg.rf.87e89f8a8ced4a3a8e42749ec5acdb43.jpg,mask,234,198,553,431
IMG_0871_mp4-0_jpg.rf.7478804df630f1270b6e810178c59508.jpg,mask,211,136,518,403
IMG_3103_mp4-3_jpg.rf.d82b3a9826a49530f90fb9cdb7ec800d.jpg,mask,101,227,425,464
IMG_4861_mp4-18_jpg.rf.651c32e4a636e4abb55430ce1f4aaa43.jpg,no-mask,175,181,436,362
